sourceIdentity,recoveryType,observedAt,amountAtRiskMinor,currency,actionAvailable,expectedProofEvent
synthetic-account-0001,ActivationMissed,2026-01-01T12:00:00.000Z,10000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0002,ActivationMissed,2026-01-02T12:00:00.000Z,10001,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0003,ActivationMissed,2026-01-03T12:00:00.000Z,50000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0004,ActivationMissed,2026-01-04T12:00:00.000Z,750000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0005,ActivationMissed,2026-01-05T12:00:00.000Z,25000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0006,ActivationMissed,2026-01-06T12:00:00.000Z,1000000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0007,ActivationMissed,2026-01-07T12:00:00.000Z,10002,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0008,ActivationMissed,2026-01-08T12:00:00.000Z,10000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0009,ActivationMissed,2026-01-09T12:00:00.000Z,10001,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0010,ActivationMissed,2026-01-10T12:00:00.000Z,50000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0011,ActivationMissed,2026-01-11T12:00:00.000Z,750000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0012,ActivationMissed,2026-01-12T12:00:00.000Z,25000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0013,ActivationMissed,2026-01-13T12:00:00.000Z,1000000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0014,ActivationMissed,2026-01-14T12:00:00.000Z,10002,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0015,ActivationMissed,2026-01-15T12:00:00.000Z,10000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0016,ActivationMissed,2026-01-16T12:00:00.000Z,10001,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0017,ActivationMissed,2026-01-17T12:00:00.000Z,50000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0018,ActivationMissed,2026-01-18T12:00:00.000Z,750000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0019,ActivationMissed,2026-01-19T12:00:00.000Z,25000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0020,ActivationMissed,2026-01-20T12:00:00.000Z,1000000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0021,ActivationMissed,2026-01-21T12:00:00.000Z,10002,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0022,ActivationMissed,2026-01-22T12:00:00.000Z,10000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0023,ActivationMissed,2026-01-23T12:00:00.000Z,10001,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0024,ActivationMissed,2026-01-24T12:00:00.000Z,50000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0025,ActivationMissed,2026-01-25T12:00:00.000Z,750000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0026,ActivationMissed,2026-01-26T12:00:00.000Z,25000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0027,ActivationMissed,2026-01-27T12:00:00.000Z,1000000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0028,ActivationMissed,2026-01-28T12:00:00.000Z,10002,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0029,ActivationMissed,2026-01-01T12:00:00.000Z,10000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0030,ActivationMissed,2026-01-02T12:00:00.000Z,10001,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0031,ActivationMissed,2026-01-03T12:00:00.000Z,50000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0032,ActivationMissed,2026-01-04T12:00:00.000Z,750000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0033,ActivationMissed,2026-01-05T12:00:00.000Z,25000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
